task,condition,max_step,final_reward,total_step_time_s,eval_metric,eval_step,n_metric_rows
reverse_text,baseline,30,0.7941989229058207,262.0,0.8073794247484322,30,180
reverse_text,difficulty_targeted,30,0.7445454214755337,206.7,0.7841618499037377,30,180
reverse_text,duet,30,0.7413929134501833,267.0,0.8010428899259855,30,180
reverse_text,experience_replay,30,0.7455547970143268,209.7,0.772592036120138,30,180
reverse_text,greso,30,0.8048416577999907,269.7,0.8286295303493242,30,180
reverse_text,mu_grpo,30,0.7732929965714446,200.2,0.7974636266287873,30,180
reverse_text,sgpo,30,0.7913512329600272,253.9,0.8177779842987614,30,180
sciknoweval,baseline,25,0.6875,263.2,0.54125,25,150
sciknoweval,difficulty_targeted,25,0.625,220.5,0.45875,25,150
sciknoweval,duet,25,0.325,253.1,0.54875,25,150
sciknoweval,experience_replay,25,0.34375,226.7,0.48625,25,150
sciknoweval,greso,25,0.5546875,263.4,0.56875,25,150
sciknoweval,mu_grpo,25,0.109375,220.0,0.4675,25,150
sciknoweval,sgpo,25,0.734375,266.8,0.54625,25,150
