task,condition,step,reward
reverse_text,baseline,1,0.1367149648140062
reverse_text,baseline,2,0.2217592677609379
reverse_text,baseline,3,0.16035951709963106
reverse_text,baseline,4,0.17320087769685785
reverse_text,baseline,5,0.2636056940850069
reverse_text,baseline,6,0.32864282030119657
reverse_text,baseline,7,0.4750736321154707
reverse_text,baseline,8,0.5887471596710666
reverse_text,baseline,9,0.6717443039014181
reverse_text,baseline,10,0.6819145499412953
reverse_text,baseline,11,0.7293056635404784
reverse_text,baseline,12,0.6969804044958902
reverse_text,baseline,13,0.6731423464800603
reverse_text,baseline,14,0.7280163892485836
reverse_text,baseline,15,0.782555324165025
reverse_text,baseline,16,0.6938188391853479
reverse_text,baseline,17,0.7839681518429004
reverse_text,baseline,18,0.7029825167034389
reverse_text,baseline,19,0.7332936771953572
reverse_text,baseline,20,0.7330212415964219
reverse_text,baseline,21,0.7496123394711987
reverse_text,baseline,22,0.7906631821835002
reverse_text,baseline,23,0.7324984295936986
reverse_text,baseline,24,0.7963649411779316
reverse_text,baseline,25,0.7343142185490596
reverse_text,baseline,26,0.7725368256740412
reverse_text,baseline,27,0.7746455672584676
reverse_text,baseline,28,0.7921108249809341
reverse_text,baseline,29,0.8072403181316539
reverse_text,baseline,30,0.7941989229058207
reverse_text,difficulty_targeted,1,0.2079492909682371
reverse_text,difficulty_targeted,2,0.28684747431415314
reverse_text,difficulty_targeted,4,0.2177714611687214
reverse_text,difficulty_targeted,5,0.23407372103392107
reverse_text,difficulty_targeted,7,0.32887260907295995
reverse_text,difficulty_targeted,8,0.3240787440783524
reverse_text,difficulty_targeted,9,0.314344023021345
reverse_text,difficulty_targeted,10,0.43187617540629647
reverse_text,difficulty_targeted,11,0.492513847050698
reverse_text,difficulty_targeted,12,0.7559145655538678
reverse_text,difficulty_targeted,13,0.7289598185117129
reverse_text,difficulty_targeted,14,0.6487463946898
reverse_text,difficulty_targeted,15,0.6701659393017819
reverse_text,difficulty_targeted,16,0.8040895116622507
reverse_text,difficulty_targeted,17,0.7754475106397146
reverse_text,difficulty_targeted,18,0.8192928570527223
reverse_text,difficulty_targeted,20,0.7337555146671213
reverse_text,difficulty_targeted,21,0.7934150401888531
reverse_text,difficulty_targeted,22,0.6198512658352182
reverse_text,difficulty_targeted,23,0.7970481404051747
reverse_text,difficulty_targeted,24,0.7812032802732313
reverse_text,difficulty_targeted,25,0.5267517311621983
reverse_text,difficulty_targeted,26,0.7465480949775406
reverse_text,difficulty_targeted,27,0.7672825401136819
reverse_text,difficulty_targeted,28,0.7814152041400614
reverse_text,difficulty_targeted,29,0.6917479428988724
reverse_text,difficulty_targeted,30,0.7445454214755337
reverse_text,duet,1,0.16238951588345768
reverse_text,duet,2,0.17445500200870184
reverse_text,duet,3,0.16566501050672375
reverse_text,duet,4,0.23766010847079974
reverse_text,duet,5,0.23933635956774368
reverse_text,duet,6,0.34162889134654983
reverse_text,duet,7,0.3772079104551813
reverse_text,duet,8,0.6154113426891031
reverse_text,duet,9,0.6701494814282537
reverse_text,duet,10,0.7300671405161417
reverse_text,duet,11,0.7488560974491109
reverse_text,duet,12,0.7387280436104828
reverse_text,duet,13,0.7472974720525442
reverse_text,duet,14,0.7724322562171435
reverse_text,duet,15,0.7499323393137995
reverse_text,duet,16,0.7133057288241825
reverse_text,duet,17,0.7265220524112314
reverse_text,duet,18,0.7614851910114568
reverse_text,duet,19,0.7502042021427676
reverse_text,duet,20,0.7289773215520137
reverse_text,duet,21,0.7596091279291918
reverse_text,duet,22,0.7787310860358422
reverse_text,duet,23,0.7556612812050091
reverse_text,duet,24,0.7907742306167604
reverse_text,duet,25,0.792893514342073
reverse_text,duet,26,0.785566502070623
reverse_text,duet,27,0.7807881596875991
reverse_text,duet,28,0.7771412751802671
reverse_text,duet,29,0.8167632056593219
reverse_text,duet,30,0.7413929134501833
reverse_text,experience_replay,1,0.17713444257909677
reverse_text,experience_replay,2,0.3291874949304725
